IP : 0.0.0.0  PORT : 0
IP : 10.0.2.4  PORT : 49226
IP : 10.0.2.4  PORT : 49240
IP : 10.0.2.4  PORT : 49256
IP : 10.0.2.4  PORT : 49258
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 1  FACTORIAL : 1
INTERGER : 1  FACTORIAL : 1
INTERGER : 1  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
INTERGER : 0  FACTORIAL : 1
